Class;Method;Signature;Timeout
java.net.Socket;connect;SocketAddress,int;0
javax.net.ssl.SSLSocket;connect;SocketAddress,int;0
java.lang.Thread;join;long;0
java.lang.Thread;join;long,int;0,1
java.lang.Thread;sleep;long;0
java.lang.Thread;sleep;long,int;0,1
java.lang.Process;waitFor;long,TimeUnit;0
java.util.concurrent.FutureTask;get;long,TimeUnit;0
java.util.Timer;schedule;TimerTask,Date;1
java.util.Timer;schedule;TimerTask,Date,long;1
java.util.Timer;schedule;TimerTask,long;1
java.util.Timer;schedule;TimerTask,long,long;1
java.util.Timer;scheduleAtFixedRate;TimerTast,Date,long;1
java.util.Timer;scheduleAtFixedRate;TimerTask,long,long;1
java.util.concurrent.TimeUnit;sleep;long;0
java.util.concurrent.TimeUnit;timedJoin;Thread,long;0
java.util.concurrent.TimeUnit;timedJoin;Object,long;1
java.lang.Object;wait;long;0
java.lang.Object;wait;long,int;0,1
